PairID,DiffLOC,DiffIdentifierNo,DiffOperatorNo,DiffTokenNo,DiffTokenTypeDiversity,DiffUniqueIdentifierNo,DiffUniqueOperatorNo,DiffUniqueTokenNo,DiffFileNameScore,DiffMethodNameScore,IsSameReturnType,c2v_0,c2v_1,c2v_2,c2v_3,c2v_4,c2v_5,c2v_6,c2v_7,c2v_8,c2v_9,c2v_10,c2v_11,Decision
163,2,9,3,22,0,0,2,1,0.930233,0.947368,true,0.030342,0.005374,0.329333,0.499219,0.111141,0.282597,0.188972,-0.029701,-0.075384,0.035938,0.12152,0.224037,false
164,1,4,6,5,0,0,0,5,0.8125,0.736842,false,0.004127,-0.266468,0.31652,0.129269,0.076874,0.049373,-0.095664,0.142592,0.175294,0.032836,-0.000742,0.040224,false
165,1,3,1,11,0,0,2,5,0,0.842105,false,0.186204,-0.17091,0.089694,0.100151,0.081817,-0.088951,0.156837,-0.103632,0.131128,0.250047,-0.28605,0.119927,false
166,3,3,4,7,0,3,3,4,0.925926,0.842105,true,-0.027831,0.064947,0.119242,-0.000764,0.170709,-0.007323,0.138384,0.234528,0.33662,0.099463,0.038184,0.336712,false
167,1,4,7,21,0,6,1,9,0.5,0.863636,true,-0.07829,0.028477,-0.156245,-0.105825,0.029924,0.233071,-0.209272,-0.26727,0.335837,-0.107008,-0.142315,0.151602,false
168,7,16,4,70,0,8,2,14,0,0.772727,true,0.211233,0.194633,-0.018453,0.337787,0.049419,-0.012881,0.204702,0.286125,0.308587,0.117193,0.155358,0.141456,true
169,3,17,3,35,0,8,3,6,0.962963,0.777778,false,-0.111168,-0.364979,-0.587476,-0.017142,-0.108154,-0.082829,-0.089595,0.182723,-0.176787,-0.193694,-0.268398,0.026548,false
170,5,17,13,34,0,16,2,12,0.625,0.666667,false,0.330757,-0.033704,0.173348,0.373039,0.370139,0.341146,0.050782,0.470073,0.259423,-0.003245,0.02833,0.403795,false
171,2,2,7,10,0,3,0,1,0,0.866667,true,0.364016,0.528432,0.501189,0.577992,0.307075,0.153657,0.479272,0.402765,0.579962,0.47452,0.277111,0.344003,true
172,12,9,10,35,0,16,2,22,0.833333,0.909091,false,-0.162442,0.0284,-0.088421,0.436827,0.067194,0.084483,-0.18622,0.138472,0.258057,0.228926,-0.028165,-0.214443,false
173,5,19,3,44,0,8,0,12,0,0.636364,true,0.656946,0.456154,0.596699,0.652405,0.341724,0.454312,0.498886,0.525685,0.540508,0.687617,0.51567,0.357174,true
174,6,14,3,42,0,7,1,14,0,0.538462,true,0.058092,0.225884,0.248854,0.318817,0.375968,-0.126693,0.411678,0.36117,0.308484,0.363832,0.235521,0.297318,true
175,4,6,0,33,0,3,1,3,0.625,0.909091,false,0.169071,0.277445,0.248373,0.228128,0.300581,0.086606,0.072485,-0.001106,0.142065,-0.010363,-0.13621,0.057184,false
176,5,15,3,36,0,8,0,12,0,0.705882,true,0.208703,0.224624,0.505132,0.40206,0.411684,0.234424,0.558547,0.003818,0.490115,0.250621,0.530243,0.095943,true
177,0,2,8,2,0,5,0,1,0,0.727273,true,0.282056,0.622318,0.395716,0.513735,0.378604,0.36565,0.671706,0.359618,0.610276,0.508395,0.464903,0.364815,true
178,5,15,10,25,0,5,3,7,0.962963,0.833333,false,0.201768,-0.085379,-0.184981,-0.110426,-0.256234,-0.319336,-0.008698,0.221487,-0.081034,0.090107,-0.033447,0.003452,false
179,8,2,6,9,0,16,3,18,0.962963,0.777778,false,-0.026536,-0.419474,-0.521079,0.021487,0.123796,-0.180184,0.193897,0.242552,-0.008695,-0.138933,-0.18164,-0.042645,false
180,9,3,6,7,0,15,2,20,0.962963,0.833333,false,0.229663,0.155868,-0.109839,-0.328303,-0.043856,0.217921,-0.206888,0.325685,-0.214548,-0.018586,-0.000667,-0.03421,false
181,7,3,5,14,0,20,3,21,0.962963,0.777778,false,0.006866,-0.393534,-0.470903,-0.064343,0.08602,0.033239,0.019715,0.242904,-0.097076,0.071348,-0.098595,-0.16698,false
182,7,11,3,2,0,11,2,9,0.814815,0.888889,false,0.36448,0.165173,-0.148544,-0.029002,-0.018645,-0.182548,-0.013798,-0.238173,-0.17853,0.172771,0.135507,-0.021813,false
183,8,2,6,1,0,16,3,18,0.962963,0.833333,false,0.139608,0.412225,-0.275297,0.090615,0.03378,0.017577,-0.171428,-0.117886,-0.087423,0.091136,0.061415,-0.086593,false
184,3,19,11,33,0,3,3,5,0.962963,0.611111,false,0.316256,0.094523,-0.245058,-0.09283,0.175494,-0.076574,-0.280594,-0.063556,-0.163309,-0.102672,0.007747,0.034103,false
185,1,2,14,4,1,6,1,7,0.6875,0.714286,false,0.309084,0.136956,0.411104,0.356728,0.256495,0.240191,0.234208,0.322239,0.438426,0.334447,0.085952,0.158212,false
186,8,10,9,3,1,6,3,3,0.722222,0.875,false,0.21079,0.225777,0.085247,0.483161,0.166523,-0.172808,0.279572,-0.01283,0.137439,-0.048593,-0.159619,0.235434,false
187,6,2,3,13,1,5,2,4,0.6875,0.818182,false,0.357878,0.130521,0.468781,0.371324,0.377182,0.264054,0.285788,0.309831,0.349403,0.568792,0.249905,0.270239,false
188,7,8,23,1,0,0,4,10,0.777778,0.904762,false,0.110902,0.124389,-0.14575,0.191849,0.067652,-0.160688,0.244765,0.145968,-0.098734,0.467346,0.177125,-0.093659,false
189,5,15,21,36,0,11,2,11,0.625,0.809524,false,0.264702,0.098752,0.447427,0.167884,0.183229,-0.160599,0.070731,0.3189,0.124823,0.161637,0.174463,0.30803,false
190,5,4,11,17,0,1,1,3,0,0.681818,false,0.854523,0.782335,0.86408,0.835358,0.819768,0.760581,0.760271,0.733958,0.85845,0.827584,0.886337,0.800752,true
191,2,1,0,3,0,4,0,6,0.925926,0.772727,false,0.170704,-0.176482,-0.198757,0.125955,0.201314,0.141056,0.112329,-0.338083,0.022342,-0.21336,0.120595,-0.25614,false
192,3,0,6,5,0,2,0,2,0.674419,0.818182,true,0.099007,0.19673,0.024162,0.220695,0.244462,-0.028728,-0.018158,0.343377,-0.138528,0.161054,-0.141555,0.059715,false
193,0,5,9,22,0,2,2,4,0.777778,0.909091,false,0.299474,-0.052425,0.133271,-0.149356,0.274748,-0.209724,-0.209768,-0.185921,-0.110501,0.292022,0.037684,-0.106082,false
194,2,6,2,6,0,2,0,6,0.925926,0.772727,false,0.605695,-0.131062,-0.057739,0.441299,0.480264,0.219437,0.422659,0.100468,0.529931,0.379859,0.514263,0.073526,false
195,4,6,1,10,0,5,1,5,0,0.772727,true,0.315921,-0.016194,0.122226,0.300792,0.429112,0.350165,0.364726,-0.022928,0.324764,0.650948,0.394968,-0.069159,true
196,3,17,4,34,0,11,0,11,0,0.8,true,0.482919,0.376853,0.380144,0.606342,0.214263,0.353084,0.452132,0.672395,0.435539,0.467084,0.551412,0.562826,true
197,4,12,4,32,0,10,1,13,0,0.933333,true,0.115432,0.280757,0.095147,0.421845,-0.065801,0.131926,0.240665,0.4606,0.232016,0.314328,0.178358,0.279198,true
198,2,18,5,39,0,15,0,14,0,0.933333,true,0.290169,0.09343,0.365314,0.601214,0.104951,0.126052,0.626644,0.499468,0.40376,0.180509,0.208232,0.487992,true
199,2,4,7,23,0,6,1,2,0.625,0.866667,false,0.573311,0.333571,0.485779,0.336592,0.151153,0.537481,0.397843,0.110963,0.248761,0.125009,0.23937,0.462406,false
200,3,13,4,26,0,11,0,11,0,0.882353,true,0.210827,0.408373,0.522332,0.515784,0.236214,0.260261,0.462412,0.287074,0.428554,0.373672,0.224824,0.26415,true
201,2,4,1,8,0,2,0,2,0,0.8,true,0.751754,0.694578,0.607572,0.779324,0.575389,0.597501,0.647231,0.649384,0.859166,0.526772,0.494072,0.697629,true
202,1,1,2,6,2,0,2,4,0,0.857143,false,0.114299,0.112455,-0.056147,0.123174,0.365442,0.1323,-0.118104,0.27977,0.093492,-0.086898,-0.182854,0.454354,false
203,1,0,0,0,0,1,0,1,0,0.142857,false,0.838253,0.77552,0.775767,0.760493,0.894605,0.80906,0.62128,0.785911,0.863083,0.689727,0.778036,0.862179,true
204,2,12,12,16,0,1,5,7,0.777778,0.909091,false,0.160155,0.168929,-0.266142,0.103941,-0.001993,-0.007902,0.090323,0.110418,-0.125973,0.323749,0.312503,-0.146363,false
205,1,5,0,2,0,1,1,2,0,0.692308,true,0.171906,-0.014161,0.396139,0.483698,0.238187,-0.081089,0.37261,0.49141,0.535715,0.318412,0.405258,0.142211,true
206,1,1,1,5,0,4,0,3,0,0.266667,true,0.668217,0.640304,0.752506,0.625943,0.605393,0.616714,0.648988,0.704798,0.774169,0.363694,0.669519,0.734164,true
207,1,13,3,11,0,5,1,9,0.625,0.727273,false,0.177291,0.27254,0.046213,0.055066,-0.044443,0.087066,0.1401,-0.021607,-0.076773,-0.266614,-0.261256,0.094591,false
208,0,4,0,8,0,0,0,0,0,0.705882,true,0.341306,0.073402,0.625106,0.4609,0.555704,0.016599,0.538678,0.210371,0.639552,0.254884,0.402138,0.201061,true
209,5,21,5,42,0,13,0,13,0,0.727273,true,0.517097,0.408367,0.345852,0.46517,0.191092,0.276114,0.372782,0.487197,0.439742,0.404495,0.297221,0.298535,true
210,0,1,2,6,2,1,2,3,0,0.842105,true,0.500236,0.565313,0.42508,0.633712,0.646223,0.481958,0.397455,0.639532,0.382762,0.48185,0.285826,0.731696,true
211,1,1,6,8,0,2,0,4,0.930233,0.933333,false,0.185405,-0.364597,-0.297352,0.139147,0.017296,-0.095609,-0.045592,-0.135104,-0.045021,-0.050167,0.08284,0.034193,false
212,2,4,9,19,0,2,2,10,0.8125,0.933333,true,0.281811,0.255924,-0.147722,0.208667,0.005614,0.338503,0.049891,0.153846,0.071629,0.158136,-0.033397,0.279709,false
213,0,5,2,3,0,2,0,0,0,0,true,0.376557,0.428752,0.579814,0.583827,0.660881,0.389067,0.048638,0.500832,0.224349,0.117126,0.369172,0.351559,true
214,2,5,1,7,0,1,1,1,0.925926,0.214286,false,0.304563,0.311916,0.064098,0.253979,0.604588,0.366944,0.206685,0.24315,-0.002673,0.060066,0.402658,0.030125,true
215,1,6,4,11,0,0,0,4,0.930233,0.933333,false,0.034052,-0.165975,-0.051925,-0.06959,-0.149601,0.079207,-0.180988,0.177446,-0.175851,0.113734,-0.034552,-0.076803,false
216,1,6,7,15,0,3,1,3,0.674419,0.933333,true,0.026464,-0.110688,0.241374,-0.178866,-0.027202,0.190756,-0.187263,0.091775,0.137475,0.401817,0.051008,0.143485,false
217,2,6,1,7,0,5,1,1,0,0.533333,true,0.144784,0.138472,0.195195,0.413955,0.152985,-0.13463,0.370299,0.208916,0.58082,0.129787,0.189682,0.349984,true
218,2,8,3,9,0,4,0,11,0.625,0.846154,false,0.310124,0.159228,-0.121772,-0.100164,-0.225622,-0.228185,0.035232,0.082365,0.160003,0.119498,-0.287224,-0.163272,false
219,1,1,0,6,0,1,1,2,0,0.352941,true,0.51208,0.652396,0.58099,0.487507,0.514452,0.420702,0.668784,0.435021,0.673811,0.541546,0.54607,0.693233,true
220,6,16,5,40,0,12,1,15,0,0.769231,true,0.299148,0.289406,0.176956,0.29411,-0.085326,0.033325,0.467117,0.479012,0.346609,0.451999,0.15404,0.443923,true
221,2,1,7,16,0,0,2,10,0.8125,0.933333,true,0.286615,0.12177,0.404021,0.14355,-0.064206,0.330348,0.109746,0.262309,-0.285129,0.441074,-0.074923,0.016042,false
222,4,1,10,12,0,3,3,9,0.777778,0.933333,false,0.221396,0.269469,0.447734,0.372945,-0.031731,-0.049972,-0.200604,0.375853,-0.158751,0.343232,0.037165,-0.149493,false
223,0,8,1,16,0,6,1,4,0.6875,0.772727,false,0.217478,0.050414,0.168117,0.194118,0.049313,0.038026,0.094146,-0.056426,-0.145401,0.369587,-0.058196,0.048918,false
224,0,14,2,16,0,9,1,12,0.625,0.733333,false,0.23824,0.371367,0.103057,0.339297,0.437865,-0.008439,0.085535,0.011015,0.276204,0.374947,-0.08644,0.094627,false
225,1,5,1,13,0,4,0,3,0,0.764706,true,0.121581,0.112505,0.458339,0.278383,0.464678,0.156152,0.539046,0.088724,0.71849,0.051679,0.007941,0.315712,true
226,2,0,3,4,0,3,1,1,0.925926,0.214286,false,0.524413,0.303142,0.527583,0.619006,0.787564,0.347491,0.440872,0.515923,0.327369,0.561476,0.588451,0.382868,true
227,1,9,3,3,0,5,1,9,0.625,0.882353,false,0.25722,0.166638,0.110694,0.062436,-0.015546,-0.016747,-0.164173,-0.146136,0.338534,0.025992,-0.261855,0.049675,false
228,4,8,8,31,0,8,1,4,0.625,1,false,0.640997,0.526304,0.364173,0.303334,0.404438,0.449538,0.310019,0.223589,0.352835,0.153858,0.439808,0.374295,false
229,5,17,5,34,0,13,0,13,0,0.764706,true,0.559198,0.544306,0.462289,0.523547,0.052822,0.422466,0.563325,0.412353,0.424525,0.530272,0.121389,0.528971,true
230,22,6,6,28,0,2,5,2,0.666667,0.777778,false,0.204822,-0.002771,0.008569,-0.016054,0.287438,0.148729,0.335273,0.116595,0.163289,-0.030371,0.277182,0.097908,false
